Orientation,Parent,Fluor,PWM,Window_size,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,percent_change
bottom,DIS3_IS150_L,mScarlet,minus10,6,1.1977519302373905e-95,"[119, 125]",3013,149,1.0952380952380951,3.261318900277804,5.2221984158350225e-93,True,gain,197.77259524275604
top,DIS3_IS150_R,GFP,minus10,6,5.087752759624245e-15,"[62, 68]",6334,20,1.111111111111111,3.0,3.1689431474231013e-13,True,gain,170.00000000000003
top,DIS3_IS150_R,GFP,minus10,6,1.2549434576490443e-10,"[30, 36]",6340,14,1.111111111111111,2.7134920634920636,4.55962789612486e-09,True,gain,144.21428571428575
bottom,DIS3_IS150_R,GFP,minus10,6,1.2549434576490443e-10,"[113, 119]",6340,14,1.111111111111111,2.7134920634920636,4.55962789612486e-09,True,gain,144.21428571428575
bottom,DIS3_IS150_L,mScarlet,minus10,6,7.9529291184383e-49,"[97, 103]",3072,90,1.1,2.2654579984262115,1.7337385478195495e-46,True,gain,105.95072712965559
top,dIS3_IS3_L,mScarlet,minus10,6,7.726198122195393e-12,"[41, 47]",3012,15,1.0416666666666667,1.98954990801352,3.368622381277191e-10,True,gain,90.9967911692979
bottom,dIS3_IS3_L,mScarlet,minus10,6,7.726198122195393e-12,"[107, 113]",3012,15,1.0416666666666667,1.98954990801352,3.368622381277191e-10,True,gain,90.9967911692979
bottom,DIS3_IS150_L,mScarlet,minus10,6,1.028893171986129e-16,"[112, 118]",3131,31,1.1047619047619046,1.976851851851852,8.971948459719044e-15,True,gain,78.93917624521077
top,DIS3_IS150_L,mScarlet,minus10,6,3.075357026328321e-16,"[31, 37]",3132,30,1.1049335049335047,1.9699074074074074,2.234759439131913e-14,True,gain,78.28289201221725
top,dIS3_IS3_L,GFP,minus10,6,0.008951793378487926,"[41, 47]",3012,15,1.1145502645502647,1.569922112693197,0.0534655056578183,False,gain,40.857004177077705
bottom,dIS3_IS3_L,GFP,minus10,6,0.008951793378487926,"[107, 113]",3012,15,1.1145502645502647,1.569922112693197,0.0534655056578183,False,gain,40.857004177077705
top,DIS3_IS2_R,GFP,minus10,6,0.004370227455269754,"[31, 37]",4116,14,1.1293058793058792,1.3773148148148149,0.03736116020583554,True,gain,21.96118341838199
bottom,dIS3_IS3_L,GFP,minus35,6,0.009350929753349774,"[57, 63]",3017,10,1.114285714285714,1.3398842549203374,0.05509466719541218,False,gain,20.246022877466192
top,dIS3_IS3_R,GFP,minus10,6,0.03658338038972834,"[142, 148]",1922,12,1.1781746031746032,1.415038665038665,0.12559333740095713,False,gain,20.10432589752226
bottom,DIS3_IS150_L,GFP,minus10,6,0.13465208481427732,"[19, 25]",3150,12,1.142857142857143,1.3621031746031746,0.2623501555477112,False,gain,19.184027777777764
top,DIS3_IS150_R,mScarlet,minus10,6,4.165223393781416e-05,"[30, 36]",6340,14,1.037037037037037,1.2214285714285715,0.0009080186998443487,True,gain,17.780612244897974
bottom,DIS3_IS150_R,mScarlet,minus10,6,4.165223393781416e-05,"[113, 119]",6340,14,1.037037037037037,1.2214285714285715,0.0009080186998443487,True,gain,17.780612244897974
top,DIS3_IS150_R,mScarlet,minus10,6,0.0010237019263181918,"[37, 43]",6339,15,1.037037037037037,1.2166666666666666,0.011444462560890553,True,gain,17.32142857142857
bottom,DIS3_IS150_R,mScarlet,minus10,6,0.0010237019263181918,"[106, 112]",6339,15,1.037037037037037,1.2166666666666666,0.011444462560890553,True,gain,17.32142857142857
bottom,DIS3_IS150_L,GFP,minus10,6,1.2602921557443293e-14,"[119, 125]",3013,149,1.1333333333333333,1.3196581196581196,6.868592248806594e-13,True,gain,16.440422322775262
top,DIS3_IS2_R,mScarlet,minus10,6,0.0015108352350126663,"[6, 12]",4112,18,1.0,1.1638888888888888,0.014971003692398238,True,gain,16.388888888888875
bottom,DIS3_IS150_L,GFP,minus10,6,1.1269652690289212e-06,"[97, 103]",3072,90,1.1335932423651722,1.29494301994302,3.779668133050843e-05,True,gain,14.23348089489326
bottom,dIS3_IS3_R,GFP,minus10,6,0.014619060465541765,"[14, 20]",55,1879,1.3329702251270878,1.1726190476190477,0.06780323410768083,False,loss,13.674618183426777
top,dIS3_IS3_L,GFP,minus10,6,0.22508716801316753,"[14, 20]",3017,10,1.114814814814815,1.2508584385705177,0.3376163495058399,False,gain,12.203248642538123
bottom,dIS3_IS3_L,GFP,minus10,6,0.19778289759443995,"[76, 82]",3015,12,1.114814814814815,1.2457765218342742,0.3135757940042757,False,gain,11.74739564626379
bottom,DIS3_IS150_L,mScarlet,minus35,6,7.36749635420869e-27,"[119, 125]",414,2748,1.2041666666666666,1.0952380952380951,8.030571026087473e-25,True,loss,9.94565217391305
top,DIS3_IS150_L,mScarlet,minus35,6,4.1808432980194675e-27,"[25, 31]",423,2739,1.2,1.0952380952380951,6.076158926454959e-25,True,loss,9.565217391304355
bottom,dIS3_IS3_L,mScarlet,minus10,6,0.13478540101533787,"[19, 25]",3007,20,1.0416666666666667,1.128937728937729,0.2623501555477112,False,gain,8.378021978021968
bottom,dIS3_IS3_L,GFP,minus10,6,0.1558863041152061,"[129, 135]",3016,11,1.1142857142857143,1.2023809523809523,0.287993341500974,False,gain,7.905982905982897
bottom,dIS3_IS3_L,GFP,minus35,6,0.3438023142607685,"[96, 102]",3017,10,1.1150793650793651,1.2024684716992406,0.4140823453527488,False,gain,7.837030202209479
bottom,DIS3_IS2_R,GFP,minus10,6,0.2140844236626483,"[118, 124]",4118,12,1.1299315619967794,1.218043412951012,0.3263664640451562,False,gain,7.797981215652053
bottom,dIS3_IS3_R,GFP,minus35,6,0.005828039401417604,"[43, 49]",124,1810,1.2506989247311828,1.1695767664495516,0.046200457800328644,True,loss,6.9360268268573195
top,DIS3_IS150_R,GFP,minus10,6,0.2643601611777726,"[63, 69]",6340,14,1.111111111111111,1.1862745098039214,0.3613198441175826,False,gain,6.764705882352938
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.3611750525424758,"[143, 149]",1915,19,1.0,1.0666666666666669,0.42907989893329546,False,gain,6.666666666666687
top,dIS3_IS3_R,mScarlet,minus10,6,0.2543292803019429,"[63, 69]",1923,11,1.0,1.0666666666666669,0.35354941794569955,False,gain,6.666666666666687
bottom,DIS3_IS150_L,GFP,minus35,6,2.938913895326584e-05,"[119, 125]",414,2748,1.2071759259259258,1.1333333333333333,0.0007630615531524145,True,loss,6.515522875816987
bottom,dIS3_IS3_R,GFP,minus35,6,0.014773640459242383,"[46, 52]",188,1746,1.2422504025764896,1.1666666666666667,0.06780323410768083,False,loss,6.4786059351276695
top,DIS3_IS150_L,GFP,minus35,6,2.9752400008236345e-05,"[25, 31]",423,2739,1.2060185185185184,1.1333333333333333,0.0007630615531524145,True,loss,6.413398692810449
top,DIS3_IS150_R,GFP,minus10,6,0.0002273944608305956,"[35, 41]",6254,100,1.111111111111111,1.1748885172798218,0.003965759396885587,True,gain,5.739966555183979
top,DIS3_IS2_R,mScarlet,minus10,6,0.22927977245034986,"[115, 121]",4116,14,1.0,1.0555555555555554,0.3376163495058399,False,gain,5.555555555555536
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.22927977245034986,"[28, 34]",4116,14,1.0,1.0555555555555554,0.3376163495058399,False,gain,5.555555555555536
top,DIS3_IS2_R,GFP,minus10,6,0.271691066892861,"[100, 106]",4117,13,1.1296296296296298,1.1904761904761905,0.36672833737946375,False,gain,5.386416861826684
top,dIS3_IS3_L,GFP,minus35,6,0.09528280790686161,"[120, 126]",3007,20,1.1142857142857143,1.1697530864197532,0.22701259151580144,False,gain,4.9778410889522045
bottom,DIS3_IS2_R,GFP,minus10,6,0.31738138834234486,"[84, 90]",4115,15,1.1296296296296295,1.1851851851851851,0.4033765714953338,False,gain,4.918032786885249
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.07942535482402902,"[111, 117]",4097,33,1.0,1.0476190476190477,0.20133403897253865,False,gain,4.761904761904767
bottom,dIS3_IS3_L,GFP,minus10,6,0.1718837323009525,"[19, 25]",3007,20,1.114285714285714,1.1666666666666667,0.2997120452251403,False,gain,4.700854700854725
top,DIS3_IS150_L,GFP,minus10,6,0.13570031717061037,"[57, 63]",3149,13,1.142857142857143,1.1944444444444444,0.262957059050605,False,gain,4.513888888888872
top,DIS3_IS150_R,mScarlet,minus10,6,0.00028268928105588075,"[35, 41]",6254,100,1.037037037037037,1.0833333333333333,0.004740481790014,True,gain,4.464285714285713
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.17937707642996903,"[144, 150]",4118,12,1.0,1.0444444444444443,0.3042521488970503,False,gain,4.444444444444429
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.17372082953740714,"[43, 49]",124,1810,1.0435573122529644,1.0,0.2997120452251403,False,loss,4.355731225296444
bottom,dIS3_IS3_R,GFP,minus35,6,0.060426705045084975,"[47, 53]",196,1738,1.2162534131227414,1.170203081232493,0.17045046465484193,False,loss,3.935242747929421
bottom,DIS3_IS150_R,GFP,minus10,6,0.19635426384283078,"[120, 126]",6316,38,1.111111111111111,1.1508771929824562,0.31244693078640223,False,gain,3.5789473684210713
bottom,DIS3_IS150_R,GFP,minus35,6,0.23188238140509176,"[27, 33]",6331,23,1.111111111111111,1.15,0.3376163495058399,False,gain,3.500000000000008
top,DIS3_IS2_R,GFP,minus35,6,0.13150406504759654,"[70, 76]",4113,17,1.1296296296296295,1.1683389074693424,0.2623501555477112,False,gain,3.4267229563024535
top,DIS3_IS150_R,GFP,minus10,6,0.2598253931967248,"[120, 126]",6332,22,1.111111111111111,1.149074074074074,0.35849326403092413,False,gain,3.4166666666666687
top,DIS3_IS2_R,GFP,minus10,6,0.29392520568348957,"[6, 12]",4112,18,1.1293058793058792,1.1666666666666667,0.38656808573051316,False,gain,3.3082965426294506
top,DIS3_IS2_R,GFP,minus10,6,0.3940723251183843,"[134, 140]",4113,17,1.1296296296296298,1.1666666666666667,0.44726544633920956,False,gain,3.2786885245901587
bottom,DIS3_IS2_R,mScarlet,minus35,6,0.00029684212310572756,"[16, 22]",387,3743,1.031746031746032,1.0,0.0047934505805221185,True,loss,3.1746031746032077
bottom,dIS3_IS3_L,mScarlet,minus35,6,0.4209326790350793,"[57, 63]",3017,10,1.0424242424242425,1.0750000000000002,0.4622837482601878,False,gain,3.125000000000012
top,DIS3_IS150_R,mScarlet,minus10,6,0.06071006982887089,"[32, 38]",6300,54,1.037037037037037,1.0690476190476192,0.17045046465484193,False,gain,3.0867346938775757
top,dIS3_IS3_L,GFP,minus35,6,0.30390342881609567,"[110, 116]",3016,11,1.1145502645502647,1.148148148148148,0.3948122998562966,False,gain,3.0144789935912275
top,DIS3_IS150_R,GFP,minus35,6,0.43990136965121507,"[93, 99]",6328,26,1.111111111111111,1.1444921565889306,0.47068798971822934,False,gain,3.004294093003766
bottom,DIS3_IS150_R,mScarlet,minus10,6,0.08579048973277664,"[111, 117]",6300,54,1.037037037037037,1.0665501165501166,0.21374087727708924,False,gain,2.845904095904102
top,dIS3_IS3_R,mScarlet,minus10,6,0.32489562726985255,"[142, 148]",1922,12,1.0,1.0277777777777777,0.40588680082995904,False,gain,2.777777777777768
bottom,dIS3_IS3_L,GFP,minus10,6,0.44297754412836804,"[109, 115]",3016,11,1.1145502645502647,1.142857142857143,0.47068798971822934,False,gain,2.5397578922383075
bottom,DIS3_IS150_R,mScarlet,minus10,6,0.14114298587066065,"[78, 84]",6323,31,1.037037037037037,1.0627705627705628,0.27109401691457286,False,gain,2.481447124304277
bottom,dIS3_IS3_R,mScarlet,minus10,6,0.48503864694726223,"[122, 128]",1920,14,1.0,1.0236985236985237,0.4929530304638842,False,gain,2.3698523698523655
bottom,dIS3_IS3_L,mScarlet,minus35,6,0.3182604142073276,"[46, 52]",3016,11,1.0429512516469037,1.0666666666666669,0.4033765714953338,False,gain,2.2738756947953807
bottom,dIS3_IS3_R,mScarlet,minus35,6,0.4163532551068081,"[46, 52]",188,1746,1.022222222222222,1.0,0.4595696689280211,False,loss,2.222222222222192
top,DIS3_IS150_L,GFP,minus35,6,0.4293998648584828,"[14, 20]",3151,11,1.142857142857143,1.1666666666666667,0.4680458526957462,False,gain,2.0833333333333255
top,DIS3_IS150_R,GFP,minus35,6,0.005017801857102223,"[32, 38]",350,6004,1.1331002331002331,1.111111111111111,0.042072338648010944,True,loss,1.979020979020996
top,DIS3_IS150_L,GFP,minus35,6,0.09754088596455562,"[131, 137]",3148,14,1.142857142857143,1.1646198830409358,0.2286260454615777,False,gain,1.9042397660818662
bottom,DIS3_IS150_R,mScarlet,minus10,6,0.13215701896408166,"[138, 144]",6306,48,1.037037037037037,1.0555555555555556,0.2623501555477112,False,gain,1.7857142857142936
bottom,DIS3_IS2_R,mScarlet,minus10,6,0.43619071446019764,"[66, 72]",4118,12,1.0,1.0175438596491229,0.47068798971822934,False,gain,1.7543859649122862
bottom,DIS3_IS2_R,GFP,minus35,6,0.35024032399898414,"[37, 43]",4061,69,1.128982128982129,1.148148148148148,0.42067432854974407,False,gain,1.697637072723088
bottom,DIS3_IS150_R,GFP,minus10,6,0.4967303780199804,"[55, 61]",6239,115,1.111111111111111,1.1285714285714288,0.4991022205083115,False,gain,1.5714285714286063
top,DIS3_IS2_R,GFP,minus35,6,0.470925659966137,"[30, 36]",4052,78,1.1299315619967794,1.1476608187134503,0.4855753837898671,False,gain,1.5690558006309987
bottom,DIS3_IS2_R,GFP,minus35,6,0.470925659966137,"[114, 120]",4052,78,1.1299315619967794,1.1476608187134503,0.4855753837898671,False,gain,1.5690558006309987
top,DIS3_IS2_R,GFP,minus10,6,0.37254809722630206,"[102, 108]",4097,33,1.1296296296296295,1.147222222222222,0.43433124779796634,False,gain,1.5573770491803094
top,DIS3_IS150_L,GFP,minus10,6,0.4261334808358778,"[0, 6]",3145,17,1.142857142857143,1.1587301587301586,0.465710077196345,False,gain,1.3888888888888644
bottom,DIS3_IS150_R,mScarlet,minus10,6,0.4825694112860674,"[127, 133]",6343,11,1.037037037037037,1.051282051282051,0.49158940028206866,False,gain,1.3736263736263616
bottom,dIS3_IS3_L,mScarlet,minus35,6,0.045166891617443757,"[107, 113]",360,2667,1.0555555555555556,1.0416666666666667,0.1430299654046014,False,loss,1.3333333333333286
bottom,DIS3_IS150_R,GFP,minus35,6,0.4097502577796198,"[65, 71]",6327,27,1.111111111111111,1.1255411255411254,0.45342921926881785,False,gain,1.2987012987013016
bottom,DIS3_IS150_R,GFP,minus10,6,0.49807686376255467,"[103, 109]",6341,13,1.111111111111111,1.125,0.4991022205083115,False,gain,1.2500000000000158
top,DIS3_IS150_R,GFP,minus10,6,0.49807686376255467,"[40, 46]",6341,13,1.111111111111111,1.125,0.4991022205083115,False,gain,1.2500000000000158
top,DIS3_IS150_R,mScarlet,minus35,6,0.20545211291631343,"[32, 38]",350,6004,1.0488095238095239,1.037037037037037,0.31877979085947566,False,loss,1.1352040816326634
